iter	Passed	Remaining
1313	104562	54588
1314	104650	54513
1315	104733	54436
1316	104800	54350
1317	104874	54267
1318	104950	54185
1319	105031	54106
1320	105102	54023
1321	105187	53946
1322	105257	53861
1323	105339	53783
1324	105417	53703
1325	105503	53627
1326	105573	53542
1327	105651	53461
1328	105717	53375
1329	105775	53285
1330	105842	53199
1331	105912	53115
1332	105982	53031
1333	106059	52950
1334	106134	52868
1335	106215	52789
1336	106290	52707
1337	106362	52624
1338	106437	52543
1339	106509	52460
1340	106592	52382
1341	106658	52296
1342	106725	52210
1343	106794	52125
1344	106871	52045
1345	106946	51963
1346	107028	51885
1347	107120	51811
1348	107216	51740
1349	107366	51695
1350	107456	51620
1351	107522	51534
1352	107617	51462
1353	107690	51379
1354	107758	51294
1355	107846	51219
1356	107918	51136
1357	107991	51053
1358	108064	50970
1359	108157	50897
1360	108238	50818
1361	108312	50736
1362	108396	50659
1363	108472	50577
1364	108553	50499
1365	108638	50422
1366	108719	50343
1367	108809	50268
1368	108891	50190
1369	108968	50109
1370	109044	50028
1371	109107	49941
1372	109195	49865
1373	109280	49788
1374	109368	49712
1375	109448	49633
1376	109542	49560
1377	109622	49481
1378	109700	49400
1379	109781	49322
1380	109851	49238
1381	109917	49152
1382	109993	49071
1383	110046	48980
1384	110118	48897
1385	110190	48814
1386	110251	48726
1387	110334	48648
1388	110406	48566
1389	110495	48491
1390	110572	48410
1391	110660	48334
1392	110738	48254
1393	110813	48172
1394	110889	48092
1395	110951	48004
1396	111033	47926
1397	111105	47843
1398	111179	47761
1399	111247	47677
1400	111320	47595
1401	111410	47520
1402	111479	47436
1403	111551	47353
1404	111632	47274
1405	111712	47195
1406	111791	47116
1407	111864	47033
1408	111938	46952
1409	112014	46871
1410	112083	46787
1411	112151	46703
1412	112228	46622
1413	112290	46536
1414	112372	46457
1415	112454	46379
1416	112523	46295
1417	112587	46209
1418	112627	46114
1419	112698	46031
1420	112786	45955
1421	112863	45875
1422	112942	45795
1423	113023	45717
1424	113118	45644
1425	113209	45569
1426	113305	45496
1427	113385	45417
1428	113452	45333
1429	113531	45253
1430	113606	45172
1431	113677	45089
1432	113754	45009
1433	113846	44935
1434	113937	44860
1435	114017	44781
1436	114101	44703
1437	114195	44630
1438	114238	44536
1439	114323	44459
1440	114392	44375
1441	114465	44293
1442	114546	44215
1443	114617	44132
1444	114712	44058
1445	114792	43979
1446	114863	43897
1447	114944	43818
1448	115030	43741
1449	115106	43661
1450	115198	43586
1451	115273	43505
1452	115357	43427
1453	115435	43347
1454	115519	43270
1455	115593	43188
1456	115682	43113
1457	115750	43029
1458	115825	42948
1459	115920	42874
1460	115993	42793
1461	116072	42713
1462	116161	42637
1463	116230	42554
1464	116304	42472
1465	116379	42391
1466	116454	42311
1467	116534	42231
1468	116606	42149
1469	116677	42067
1470	116767	41991
1471	116850	41913
1472	116922	41831
1473	117006	41754
1474	117084	41673
1475	117150	41590
1476	117234	41512
1477	117321	41435
1478	117404	41357
1479	117491	41280
1480	117569	41200
1481	117662	41126
1482	117754	41051
1483	117838	40973
1484	117929	40898
1485	118001	40816
1486	118078	40735
1487	118149	40653
1488	118241	40578
1489	118315	40497
1490	118405	40421
1491	118485	40342
1492	118559	40261
1493	118623	40176
1494	118691	40092
1495	118764	40011
1496	118855	39936
1497	118905	39846
1498	118993	39770
1499	119078	39692
1500	119156	39612
1501	119249	39538
1502	119323	39456
1503	119399	39376
1504	119486	39299
1505	119574	39223
1506	119647	39141
1507	119722	39060
1508	119802	38981
1509	119880	38901
1510	119957	38821
1511	120045	38744
1512	120129	38666
1513	120207	38587
1514	120283	38506
1515	120373	38430
1516	120460	38353
1517	120530	38271
